crdb;brand;folder;name;seasons;name_source;seasons_source;prestige_cup_info;remark
Porsche_911RWBRewardRecycled_1972;Porsche;Porsche RWB 911 (F-Series) NARRO STYLE;Porsche RWB 911 (F-Series) NARRO STYLE;165;repository;repository;;
Porsche_911SpeedsterReward_2020;Porsche;Porsche 911 Speedster 'Heritage Design Package';Porsche 911 Speedster ''Heritage Design Package'';084;repository;repository;;
Porsche_911SpeedsterRewardRecycled_2020;Porsche;Porsche 911 Speedster;Porsche 911 Speedster;084;repository;repository;;
Porsche_911STReward_2024;Porsche;Porsche 911 ST (992);Porsche 911 ST (992);239;repository;repository;;
Porsche_911STRewardRecycled_2024;Porsche;Porsche 911 ST (992);Porsche 911 ST (992);239;repository;repository;;
Porsche_911STRII_1972;Porsche;Porsche 911 '277' Urban Outlaw;Porsche 911 '277' Urban Outlaw;;repository;;;
Porsche_911Targa4GTSReward_2025;Porsche;Porsche 911 Targa 4S GTS (992.2);Porsche 911 Targa 4 GTS (992.2);228;repository;repository;;
Porsche_911Targa4GTSRewardRecycled_2025;Porsche;Porsche 911 Targa 4S GTS (992.2);Porsche 911 Targa 4 GTS (992.2);228;repository;repository;;
Porsche_911Targa4SReward_2021;Porsche;Porsche 911 Targa 4S Heritage (992);Porsche 911 Targa 4S Heritage (992);128;repository;repository;;
Porsche_911Targa4SRewardRecycled_2021;Porsche;Porsche 911 Targa 4S Heritage (992);Porsche 911 Targa 4S Heritage (992);128;repository;repository;;
Porsche_911Turbo930LPClassic_1977;Porsche;Porsche 911 Turbo Coupe (930);Porsche 911 Turbo Coupe (930);;repository;;;
Porsche_911TurboFlachbauC_1987;Porsche;Porsche 911 Turbo 3.3 Cabriolet ''Flachbau'' (930);Porsche 991 Turbo 3.3 Cabriolet ''Flackbau'' (930);;repository;;;
Porsche_911TurboSReward_2016;Porsche;Porsche 911 Turbo S;Porsche 911 Turbo S;016;repository;repository;;
Porsche_911TurboSReward_2021;Porsche;Porsche 911 Turbo S (992);Porsche 911 Turbo S (992);110;repository;repository;;
Porsche_911TurboSReward_2026;Porsche;Porsche 911 Turbo S (992.2);Porsche 911 Turbo S (992.2);254;repository;repository;;
Porsche_911TurboSRewardRecycled_2016;Porsche;Porsche 911 Turbo S;Porsche 911 Turbo S;016;repository;repository;;
Porsche_911TurboSRewardRecycled_2021;Porsche;Porsche 911 Turbo S (992);Porsche 911 Turbo S (992);110;repository;repository;;
Porsche_911TurboSRewardRecycled_2026;Porsche;Porsche 911 Turbo S (992.2);Porsche 911 Turbo S (992.2);254;repository;repository;;
Porsche_912Hoonipigasus_1966;Porsche;Porsche SVRSR Hoonipigasus;Porsche SVRSR Hoonipigasus;;repository;;;
Porsche_917K_1970;Porsche;Porsche 917K;Porsche 917K;;repository;;;
Porsche_918SpyderGold_2015;Porsche;Porsche 918 Spyder Weissach Package;Porsche 918 Spyder Weissach Package;;repository;;;
Porsche_918SpyderMartini_2015;Porsche;Porsche 918 Spyder MARTINI RACING;Porsche 918 Spyder MARTINI RACING;;repository;;;
Porsche_918SpyderReward_2015;Porsche;Porsche 918 Spyder 'Weissach Package';Porsche 918 Spyder Weissach Package;017,085;repository;repository;;
Porsche_918SpyderRewardRecycled_2015;Porsche;Porsche 918 Spyder;Porsche 918 Spyder;017,085;repository;repository;;
Porsche_919Street_2020;Porsche;Porsche 919 Street;Porsche 919 Street;;repository;;;
Porsche_935_2019;Porsche;Porsche 935 Martini Racing;Porsche 935 Martini Racing;;repository;;;
Porsche_935Gold_2019;Porsche;Porsche 935 (991);Porsche 935 (991);;repository;;;
Porsche_935Salzburg_2019;Porsche;Porsche 935 Salzburg;Porsche 935 Salzburg;;repository;;;
